N,live weithg,altura_cruz,altura_cadera,profundidad_pecho,ancho_pecho,ancho_ilion,ancho_articulacion_cadera,longitud_oblicua,longitud_cadera,circunferencia_torax,length,width,height,volume,surface_area,point_count,density,std_x,std_y,std_z,avg_distance,max_distance,aspect_ratio_1,aspect_ratio_2,aspect_ratio_3,distance_q1,distance_q3,eigenvalue_1,eigenvalue_2,eigenvalue_3,principal_length_1,principal_length_2,principal_length_3,sphericity,elongation,flatness
1,415.0,117.0,122.0,62.0,40.0,43.0,42.0,145.0,43.0,172.0,1.2691845893859863,2.129135012626648,0.7182794511318207,1.9409816700746056,10.286416970504042,102863,52995.348480568726,0.5101862317671578,0.18835126399182964,0.3004107946691975,0.5823279829915609,1.2332528058831351,0.5961033855810922,1.766978837256284,2.964215402893244,0.4010145806703031,0.729847378413852,0.26155671358080573,0.08999065210191776,0.0344692223285009,2.122876189852586,1.2965795445129387,0.7626127810432508,0.1317848884725795,0.6559421057486414,0.6169688570601397
2,407.0,116.0,121.0,60.0,39.0,42.0,44.0,127.0,37.0,171.0,1.239144206047058,2.015170097351074,0.91277015209198,2.279265887779228,10.935054623999378,96296,42248.69091241685,0.49058804431934766,0.2182327414435811,0.27840498157993937,0.5677167049894648,1.177193914969635,0.614907995943322,1.3575643366591914,2.207751965522209,0.39086566069362605,0.7152370083719537,0.25019948566204897,0.07723259538852811,0.038383210247800226,2.0488388712114496,1.2557432272956919,0.7485868093418038,0.153410428267808,0.6913159306296568,0.5030179931839822
3,448.0,114.0,121.0,60.0,43.0,41.0,40.0,128.0,41.0,176.0,1.2630400657653809,2.2285357415676117,0.6924557536840439,1.9490759348113194,10.464983373603598,94334,48399.34571822212,0.5019035666261631,0.18520378921895672,0.2899474193276938,0.5683707019407214,1.2842970820020025,0.5667578231780679,1.8240011134945167,3.218307783148923,0.3762155487843428,0.7031933144748719,0.25193834577271623,0.0842052002103349,0.03413751893809348,2.228513560164066,1.2707729167604922,0.6936164203485197,0.1354994962493336,0.6657706076775632,0.5945913215238265
4,443.0,118.0,123.0,63.0,46.0,44.0,44.0,150.0,46.0,176.0,1.2622458934783936,2.181646943092346,0.7011195719242096,1.930725475514569,10.336711132534667,96702,50085.836244651706,0.5182029101829327,0.19149912517380724,0.2966290355700963,0.5853288875699479,1.298188485911457,0.5785747769477494,1.8003289938322264,3.1116617342529134,0.39395357156498056,0.7316613294618917,0.26989182346505614,0.08743700407554504,0.03587019435689805,2.1518113696403214,1.2726906795924986,0.707525465691923,0.13290582091881079,0.6760294441196147,0.5897595676321845
5,410.0,124.0,127.0,66.0,41.0,42.0,44.0,140.0,45.0,178.0,1.2872568368911743,2.307662010192871,0.7703377902507782,2.288329772967423,11.479711081296806,95049,41536.40839831573,0.5113468806048683,0.19472821947381705,0.29033285224316097,0.5770970893416562,1.3991051885782648,0.5578186195402104,1.6710290643694328,2.995649492207344,0.3867015278030644,0.71892463400623,0.26589399100331845,0.08399693883804259,0.03380098379418096,2.2900201807055454,1.3120577866363243,0.6750854648217526,0.12712202959772456,0.684096137257219,0.5975926710930048
6,441.0,120.0,124.0,60.0,43.0,43.0,44.0,138.0,45.0,178.0,1.263110876083374,2.184565305709839,1.0370849967002869,2.8616786159429894,12.66976287755034,100654,35173.062215734586,0.5129412877812728,0.20433130652111337,0.2870078810225459,0.5804021249381688,1.3183433348574733,0.5781978102380174,1.2179434473570034,2.106447699716525,0.38950262860144164,0.7277807292905694,0.26961369378811145,0.08246362588440037,0.03516009884528993,2.2239979737024376,1.2694042954187328,0.8115018223998527,0.13040917303303645,0.6941415522120762,0.5736289974130138
7,427.0,117.0,121.0,62.0,41.0,43.0,45.0,149.0,45.0,172.0,1.2353614568710327,2.0749704837799072,0.8125010561197996,2.0827152870355805,10.505973515385463,93435,44862.10889294912,0.5093737031313734,0.21782576021884764,0.28214998959609894,0.5823347085756354,1.2536848846320234,0.5953633878302762,1.5204428936630012,2.5538065066514353,0.38902503137009203,0.7356976177047215,0.2734643247385071,0.07347386580488664,0.0395841941474774,2.1861786322189416,1.311267720688706,0.740567846821274,0.14475085254842188,0.7313219343139401,0.4612479728153257
8,380.0,115.0,117.0,60.0,48.0,41.0,41.0,137.0,43.0,172.0,1.160098910331726,2.0819318890571594,0.7210559546947479,1.7415281707534584,9.505865058166425,84941,48773.830608350676,0.4819413386576761,0.19297783151711634,0.27343540948408157,0.5516659068816294,1.1897988342943133,0.557222316651818,1.6088888841128048,2.8873374881683422,0.3866876770582097,0.676595614013657,0.2329317539999694,0.07475271439232681,0.03659440528468928,2.0681559674907266,1.1857387588591297,0.7084694248192182,0.15710354924255665,0.6790789014007226,0.510460515284705
9,416.0,118.0,120.0,62.0,44.0,42.0,40.0,140.0,44.0,175.0,1.2186915874481201,2.1469162553548813,0.6987621337175369,1.8282613565831982,9.936376193700232,85210,46607.12194849827,0.494781180700119,0.19722988858414622,0.2786377636717671,0.5633278353827759,1.284335847828995,0.5676474731645612,1.7440721651078421,3.072456493789826,0.37846222914136585,0.6975170658583864,0.24908286452685152,0.07348372178756993,0.03878470347008849,2.126150087208878,1.3219727674623099,0.7175685234240423,0.15571004269507846,0.7049828300025501,0.4722000665370615
10,424.0,119.0,122.0,65.0,46.0,44.0,40.0,151.0,46.0,182.0,1.2621443271636963,2.1932533532381058,0.77033531665802,2.13244397825964,10.86003428826788,97943,45929.928757113055,0.5059319861313388,0.2162926631695853,0.30420518637711236,0.588866095316168,1.320619475696685,0.5754667263133437,1.6384349774320528,2.8471411160962923,0.39332874482418445,0.7256182345232688,0.26186330689878917,0.09251712409620429,0.04091409112055609,2.259871066321065,1.2698622271313327,0.7129574760615112,0.15624216926417067,0.6466968771155006,0.5577673698761818
11,450.0,120.0,124.0,64.0,43.0,43.0,45.0,138.0,42.0,180.0,1.2669447660446167,2.061138942837715,0.8386782109737396,2.190081671693306,10.80508097331052,90888,41499.82220970239,0.48511977769972187,0.22187332009032998,0.30342566100347385,0.5772113867270391,1.276534098556282,0.6146818827751246,1.510644666174935,2.4576040200742173,0.3998621606390937,0.7015721431437277,0.24779938289639047,0.0890694819537163,0.03977137979272189,2.077064570130707,1.3958408717749573,0.752876190342217,0.16049830039064725,0.6405580961799331,0.5534791612082293
12,429.0,118.0,120.0,60.0,46.0,40.0,41.0,140.0,41.0,178.0,1.2879490852355957,2.2438356280326843,0.7566823214292526,2.186771081790639,11.124770200335847,95327,43592.58305260806,0.4913495020673187,0.2062460828842096,0.2914533094683746,0.5690635901885321,1.3195738240349035,0.5739944000999859,1.7021001399938414,2.965360184171391,0.38327638460683777,0.7019839301030755,0.24220254589348,0.0848144485806899,0.04189368696233814,2.218649155564842,1.313613484824212,0.7348737944516138,0.17296963914146,0.6498201607757209,0.506054833069135
