Característica,Importancia
point_count,0.3256923380161489
width,0.1697819235892047
max_distance,0.05897215086181435
distance_q3,0.054098601612185084
std_y,0.04983844624785619
std_z,0.04529849596097556
height,0.044796958022773725
avg_distance,0.04287960642636766
surface_area,0.03838978199037101
aspect_ratio_3,0.03395411967289682
std_x,0.02914996188142413
aspect_ratio_2,0.02370759101894167
volume,0.02213393340296652
length,0.017268351287792492
aspect_ratio_1,0.0172341541865005
density,0.01700801407900663
distance_q1,0.00979557174277416
