feature,importance
point_count,0.27518203879927744
max_distance,0.21067384578547732
distance_q3,0.08750149482860616
avg_distance,0.08437193144170278
std_x,0.06917234318508324
std_z,0.060467714168983264
std_y,0.039878565247839844
length,0.023787158706238792
width,0.023019116841804372
volume,0.02270658425796569
distance_q1,0.020476866351705487
density,0.019380532367271535
aspect_ratio_1,0.015713297208628116
height,0.014535701826227829
aspect_ratio_2,0.012889081078949014
surface_area,0.010760821796418487
aspect_ratio_3,0.009482906107820693
