Métrica,Modelo,MAE,RMSE,R²,Error (%),Dentro 10%
live weithg,PointNet,33.185985858623795,42.05721315489272,0.49283156740576617,7.141638912431802,73.07692307692307
withers height,PointNet,2.8354729872483473,3.819565395048112,0.18956217030444977,2.3124561575661406,100.0
hip height,PointNet,2.7414688697228065,3.6489301372459995,0.43306051807536994,2.1413772585750523,100.0
chest depth,PointNet,2.5255973522479715,3.015754142959917,0.16113158925812343,3.9242204993690253,96.15384615384616
chest width,PointNet,3.2739725846510668,4.539381563933957,0.15827869668881223,7.372017664237512,80.76923076923077
ilium width,PointNet,1.4650696974534254,1.9333932388828592,0.4315198278238973,3.2842028132491836,100.0
hip joint width,PointNet,2.8930956033559947,3.5357048763853265,0.43525679860485145,6.096731769768008,80.76923076923077
oblique body length,PointNet,5.08786128117488,6.5636377297343325,0.3407658734838981,3.3370070816377657,100.0
hip length,PointNet,1.975853259746845,2.2538413634862584,0.22466800568280887,4.344724276560628,100.0
heart girth,PointNet,5.926030672513521,7.4884497040033215,0.4633107728214021,3.2316925656741793,96.15384615384616
live weithg,Random Forest,39.88736990351696,,0.4488407880478259,,68.62745098039215
withers height,ML Tradicional,3.2527888298570176,3.798945347260859,0.2760823812090512,2.633432599537673,100.0
hip height,ML Tradicional,3.34875662468844,4.146513765028534,0.3238795109417922,2.627334118117686,100.0
chest depth,ML Tradicional,2.377912296667981,2.84532594884154,0.3470411928856709,3.694679190897348,95.45454545454544
chest width,ML Tradicional,2.6135371900826407,4.06215412128141,0.4075713585905293,5.838197444539165,90.9090909090909
ilium width,ML Tradicional,1.291014159451659,1.6086219240268138,0.5843247211023868,2.93270423645594,100.0
heart girth,ML Tradicional,3.2246757346189088,4.703042374658554,0.804131182895352,1.759673164235192,100.0
