Métrica,MAE,RMSE,R²,Error Rel. (%),Dentro 5% (%),Dentro 10% (%)
live weithg,33.185985858623795,42.05721315489272,0.49283156740576617,7.141638912431802,42.30769230769231,73.07692307692307
withers height,2.8354729872483473,3.819565395048112,0.18956217030444977,2.3124561575661406,84.61538461538461,100.0
hip height,2.7414688697228065,3.6489301372459995,0.43306051807536994,2.1413772585750523,92.3076923076923,100.0
chest depth,2.5255973522479715,3.015754142959917,0.16113158925812343,3.9242204993690253,73.07692307692307,96.15384615384616
chest width,3.2739725846510668,4.539381563933957,0.15827869668881223,7.372017664237512,42.30769230769231,80.76923076923077
ilium width,1.4650696974534254,1.9333932388828592,0.4315198278238973,3.2842028132491836,69.23076923076923,100.0
hip joint width,2.8930956033559947,3.5357048763853265,0.43525679860485145,6.096731769768008,42.30769230769231,80.76923076923077
oblique body length,5.08786128117488,6.5636377297343325,0.3407658734838981,3.3370070816377657,80.76923076923077,100.0
hip length,1.975853259746845,2.2538413634862584,0.22466800568280887,4.344724276560628,57.692307692307686,100.0
heart girth,5.926030672513521,7.4884497040033215,0.4633107728214021,3.2316925656741793,84.61538461538461,96.15384615384616
